Level,Degree,Term,Course,CourseID,Type,CreditHours,Grade
U,BS2,1,CourseBS8,CBS8,Major,1,79
U,BS2,1,CourseBS37,CBS37,Minor,3,75
U,BS2,1,CourseBS26,CBS26,Major,1,85
U,BS2,1,CourseBS11,CBS11,Minor,3,70
U,BS2,2,CourseBS18,CBS18,Major,4,67
U,BS2,2,CourseBS29,CBS29,Minor,3,97
U,BS2,2,CourseBS24,CBS24,Major,3,98
U,BS2,2,CourseBS13,CBS13,Minor,3,51
U,BS2,3,CourseBS44,CBS44,Major,3,66
U,BS2,3,CourseBS27,CBS27,Minor,3,95
U,BS2,3,CourseBS10,CBS10,Major,1,60
U,BS2,3,CourseBS39,CBS39,Minor,3,83
U,BS2,4,CourseBS42,CBS42,Major,3,86
U,BS2,4,CourseBS13,CBS13,Minor,2,83
U,BS2,4,CourseBS20,CBS20,Major,3,97
U,BS2,4,CourseBS41,CBS41,Minor,3,92
G,M2,1,CourseM38,CM38,Major,2,50
G,M2,1,CourseM19,CM19,Minor,1,97
G,M2,1,CourseM2,CM2,Major,1,77
G,M2,1,CourseM7,CM7,Minor,4,91
G,M2,2,CourseM8,CM8,Major,1,96
G,M2,2,CourseM31,CM31,Minor,2,91
G,M2,2,CourseM32,CM32,Major,1,64
G,M2,2,CourseM33,CM33,Minor,3,92
G,M2,3,CourseM6,CM6,Major,1,59
G,M2,3,CourseM43,CM43,Minor,1,51
G,M2,3,CourseM26,CM26,Major,3,80
G,M2,3,CourseM23,CM23,Minor,2,65
G,M2,4,CourseM8,CM8,Major,2,90
G,M2,4,CourseM23,CM23,Minor,2,94
G,M2,4,CourseM38,CM38,Major,2,68
G,M2,4,CourseM13,CM13,Minor,4,98
G,D2,1,CourseD34,CD34,Major,2,76
G,D2,1,CourseD41,CD41,Minor,4,69
G,D2,1,CourseD38,CD38,Major,4,61
G,D2,1,CourseD17,CD17,Minor,2,83
G,D2,2,CourseD18,CD18,Major,2,87
G,D2,2,CourseD33,CD33,Minor,3,69
G,D2,2,CourseD16,CD16,Major,1,68
G,D2,2,CourseD39,CD39,Minor,2,82
G,D2,3,CourseD24,CD24,Major,3,57
G,D2,3,CourseD7,CD7,Minor,2,86
G,D2,3,CourseD44,CD44,Major,4,54
G,D2,3,CourseD17,CD17,Minor,2,52
G,D2,4,CourseD24,CD24,Major,3,66
G,D2,4,CourseD39,CD39,Minor,2,51
G,D2,4,CourseD18,CD18,Major,4,81
G,D2,4,CourseD37,CD37,Minor,2,58
