Level,Degree,Term,Course,CourseID,Type,CreditHours,Grade
U,BS2,1,CourseBS38,CBS38,Major,2,56
U,BS2,1,CourseBS11,CBS11,Minor,3,90
U,BS2,1,CourseBS18,CBS18,Major,1,86
U,BS2,1,CourseBS3,CBS3,Minor,3,69
U,BS2,2,CourseBS14,CBS14,Major,4,60
U,BS2,2,CourseBS23,CBS23,Minor,4,90
U,BS2,2,CourseBS22,CBS22,Major,2,57
U,BS2,2,CourseBS21,CBS21,Minor,2,71
U,BS2,3,CourseBS26,CBS26,Major,3,95
U,BS2,3,CourseBS23,CBS23,Minor,3,80
U,BS2,3,CourseBS20,CBS20,Major,2,63
U,BS2,3,CourseBS33,CBS33,Minor,4,84
U,BS2,4,CourseBS2,CBS2,Major,3,90
U,BS2,4,CourseBS29,CBS29,Minor,3,91
U,BS2,4,CourseBS30,CBS30,Major,2,80
U,BS2,4,CourseBS3,CBS3,Minor,2,63
G,D2,1,CourseD12,CD12,Major,2,78
G,D2,1,CourseD23,CD23,Minor,1,80
G,D2,1,CourseD4,CD4,Major,3,66
G,D2,1,CourseD31,CD31,Minor,2,67
G,D2,2,CourseD38,CD38,Major,2,64
G,D2,2,CourseD1,CD1,Minor,3,73
G,D2,2,CourseD26,CD26,Major,4,63
G,D2,2,CourseD3,CD3,Minor,4,60
G,D2,3,CourseD12,CD12,Major,4,83
G,D2,3,CourseD21,CD21,Minor,2,69
G,D2,3,CourseD36,CD36,Major,3,82
G,D2,3,CourseD31,CD31,Minor,4,65
G,D2,4,CourseD12,CD12,Major,2,65
G,D2,4,CourseD23,CD23,Minor,3,84
G,D2,4,CourseD19,CD19,Minor,1,51
G,D2,4,CourseD16,CD16,Major,3,57
G,D2,4,CourseD25,CD25,Minor,4,96
