Level,Degree,Term,Course,CourseID,Type,CreditHours,Grade
U,BS1,1,CourseBS6,CBS6,Major,1,94
U,BS1,1,CourseBS25,CBS25,Minor,3,68
U,BS1,1,CourseBS8,CBS8,Major,1,76
U,BS1,1,CourseBS7,CBS7,Minor,1,81
U,BS1,2,CourseBS2,CBS2,Major,1,52
U,BS1,2,CourseBS37,CBS37,Minor,3,82
U,BS1,2,CourseBS35,CBS35,Minor,4,61
U,BS1,2,CourseBS38,CBS38,Major,3,65
U,BS1,2,CourseBS7,CBS7,Minor,4,78
U,BS1,3,CourseBS24,CBS24,Major,3,75
U,BS1,3,CourseBS33,CBS33,Minor,3,74
U,BS1,3,CourseBS32,CBS32,Major,2,72
U,BS1,3,CourseBS11,CBS11,Minor,4,52
U,BS1,4,CourseBS20,CBS20,Major,1,92
U,BS1,4,CourseBS3,CBS3,Minor,1,73
U,BS1,4,CourseBS44,CBS44,Major,1,68
U,BS1,4,CourseBS8,CBS8,Major,1,53
U,BS1,4,CourseBS1,CBS1,Minor,4,57
U,BS1,5,CourseBS34,CBS34,Major,2,95
U,BS1,5,CourseBS43,CBS43,Minor,1,50
U,BS1,5,CourseBS12,CBS12,Major,4,52
U,BS1,5,CourseBS35,CBS35,Minor,3,86
U,BS1,6,CourseBS26,CBS26,Major,4,94
U,BS1,6,CourseBS31,CBS31,Minor,1,64
U,BS1,6,CourseBS18,CBS18,Major,4,63
U,BS1,6,CourseBS15,CBS15,Minor,3,71
G,M2,1,CourseM12,CM12,Major,3,62
G,M2,1,CourseM19,CM19,Minor,3,69
G,M2,1,CourseM10,CM10,Major,1,96
G,M2,1,CourseM13,CM13,Minor,4,98
G,M2,2,CourseM12,CM12,Major,1,82
G,M2,2,CourseM9,CM9,Minor,1,76
G,M2,2,CourseM32,CM32,Major,1,96
G,M2,2,CourseM13,CM13,Minor,1,72
G,M2,3,CourseM2,CM2,Major,3,58
G,M2,3,CourseM17,CM17,Minor,3,65
G,M2,3,CourseM30,CM30,Major,1,76
G,M2,3,CourseM27,CM27,Minor,3,96
G,M2,4,CourseM30,CM30,Major,4,53
G,M2,4,CourseM17,CM17,Minor,3,63
G,M2,4,CourseM16,CM16,Major,3,87
G,M2,4,CourseM19,CM19,Minor,4,85
G,M2,5,CourseM32,CM32,Major,4,97
G,M2,5,CourseM43,CM43,Minor,3,58
G,M2,5,CourseM6,CM6,Major,2,94
G,M2,5,CourseM1,CM1,Minor,2,92
G,M2,6,CourseM32,CM32,Major,2,97
G,M2,6,CourseM35,CM35,Minor,3,77
G,M2,6,CourseM22,CM22,Major,2,88
G,M2,6,CourseM33,CM33,Minor,3,54
