Level,Degree,Term,Course,CourseID,Type,CreditHours,Grade
U,BS2,1,CourseBS44,CBS44,Major,1,65
U,BS2,1,CourseBS15,CBS15,Minor,1,54
U,BS2,1,CourseBS22,CBS22,Major,3,92
U,BS2,1,CourseBS19,CBS19,Minor,1,69
U,BS2,2,CourseBS18,CBS18,Major,3,58
U,BS2,2,CourseBS31,CBS31,Minor,3,82
U,BS2,2,CourseBS10,CBS10,Major,4,92
U,BS2,2,CourseBS45,CBS45,Minor,4,81
U,BS2,3,CourseBS14,CBS14,Major,4,53
U,BS2,3,CourseBS7,CBS7,Minor,3,51
U,BS2,3,CourseBS34,CBS34,Major,2,72
U,BS2,3,CourseBS8,CBS8,Major,1,57
U,BS2,3,CourseBS3,CBS3,Minor,1,60
U,BS2,4,CourseBS28,CBS28,Major,4,82
U,BS2,4,CourseBS13,CBS13,Minor,4,75
U,BS2,4,CourseBS32,CBS32,Major,4,74
U,BS2,4,CourseBS17,CBS17,Minor,1,61
U,BS2,5,CourseBS4,CBS4,Major,2,65
U,BS2,5,CourseBS13,CBS13,Minor,4,85
U,BS2,5,CourseBS16,CBS16,Major,3,55
U,BS2,5,CourseBS33,CBS33,Minor,2,53
U,BS2,6,CourseBS16,CBS16,Major,1,97
U,BS2,6,CourseBS45,CBS45,Minor,4,54
U,BS2,6,CourseBS18,CBS18,Major,1,78
U,BS2,6,CourseBS21,CBS21,Minor,4,52
U,BS2,7,CourseBS6,CBS6,Major,1,55
U,BS2,7,CourseBS5,CBS5,Minor,3,98
U,BS2,7,CourseBS44,CBS44,Major,2,54
U,BS2,7,CourseBS31,CBS31,Minor,1,90
G,M1,1,CourseM32,CM32,Major,4,67
G,M1,1,CourseM45,CM45,Minor,4,50
G,M1,1,CourseM22,CM22,Major,4,64
G,M1,1,CourseM39,CM39,Minor,1,78
G,M1,2,CourseM32,CM32,Major,1,62
G,M1,2,CourseM11,CM11,Minor,3,82
G,M1,2,CourseM12,CM12,Major,1,89
G,M1,2,CourseM3,CM3,Minor,3,63
G,M1,3,CourseM16,CM16,Major,3,97
G,M1,3,CourseM13,CM13,Minor,4,69
G,M1,3,CourseM40,CM40,Major,3,77
G,M1,3,CourseM37,CM37,Minor,1,83
G,M1,4,CourseM44,CM44,Major,4,56
G,M1,4,CourseM39,CM39,Minor,3,87
G,M1,4,CourseM26,CM26,Major,2,78
G,M1,4,CourseM7,CM7,Minor,4,53
G,M1,5,CourseM20,CM20,Major,4,94
G,M1,5,CourseM43,CM43,Minor,4,89
G,M1,5,CourseM30,CM30,Major,3,82
G,M1,5,CourseM29,CM29,Minor,2,88
G,M1,6,CourseM38,CM38,Major,2,62
G,M1,6,CourseM35,CM35,Minor,1,72
G,M1,6,CourseM6,CM6,Major,3,79
G,M1,6,CourseM5,CM5,Minor,2,78
G,M1,7,CourseM4,CM4,Major,2,85
G,M1,7,CourseM5,CM5,Minor,1,93
G,M1,7,CourseM14,CM14,Major,1,54
G,M1,7,CourseM35,CM35,Minor,4,68
G,D2,1,CourseD26,CD26,Major,2,56
G,D2,1,CourseD3,CD3,Minor,4,72
G,D2,1,CourseD14,CD14,Major,3,65
G,D2,1,CourseD15,CD15,Minor,3,100
G,D2,2,CourseD28,CD28,Major,4,58
G,D2,2,CourseD31,CD31,Minor,2,81
G,D2,2,CourseD26,CD26,Major,4,56
G,D2,2,CourseD35,CD35,Minor,2,81
G,D2,3,CourseD2,CD2,Major,4,64
G,D2,3,CourseD9,CD9,Minor,4,60
G,D2,3,CourseD4,CD4,Major,1,71
G,D2,3,CourseD11,CD11,Minor,3,87
G,D2,4,CourseD18,CD18,Major,1,86
G,D2,4,CourseD45,CD45,Minor,2,99
G,D2,4,CourseD8,CD8,Major,3,71
G,D2,4,CourseD9,CD9,Minor,4,95
G,D2,5,CourseD14,CD14,Major,1,60
G,D2,5,CourseD15,CD15,Minor,3,57
G,D2,5,CourseD10,CD10,Major,1,60
G,D2,5,CourseD21,CD21,Minor,2,87
G,D2,6,CourseD12,CD12,Major,2,50
G,D2,6,CourseD7,CD7,Minor,2,63
G,D2,6,CourseD14,CD14,Major,3,91
G,D2,6,CourseD1,CD1,Minor,1,95
G,D2,7,CourseD22,CD22,Major,3,59
G,D2,7,CourseD19,CD19,Minor,3,78
G,D2,7,CourseD18,CD18,Major,1,78
G,D2,7,CourseD9,CD9,Minor,3,71
