Level,Degree,Term,Course,CourseID,Type,CreditHours,Grade
U,BS1,1,CourseBS4,CBS4,Major,1,63
U,BS1,1,CourseBS17,CBS17,Minor,2,59
U,BS1,1,CourseBS10,CBS10,Major,4,96
U,BS1,1,CourseBS29,CBS29,Minor,3,74
U,BS1,2,CourseBS24,CBS24,Major,1,51
U,BS1,2,CourseBS25,CBS25,Minor,2,99
U,BS1,2,CourseBS22,CBS22,Major,2,73
U,BS1,2,CourseBS44,CBS44,Major,2,78
U,BS1,2,CourseBS13,CBS13,Minor,2,98
U,BS1,3,CourseBS44,CBS44,Major,1,51
U,BS1,3,CourseBS39,CBS39,Minor,3,79
U,BS1,3,CourseBS8,CBS8,Major,4,71
U,BS1,3,CourseBS21,CBS21,Minor,2,100
U,BS1,4,CourseBS28,CBS28,Major,2,60
U,BS1,4,CourseBS35,CBS35,Minor,1,86
U,BS1,4,CourseBS8,CBS8,Major,4,79
U,BS1,4,CourseBS9,CBS9,Minor,4,67
U,BS1,5,CourseBS42,CBS42,Major,2,74
U,BS1,5,CourseBS45,CBS45,Minor,4,67
U,BS1,5,CourseBS18,CBS18,Major,2,77
U,BS1,5,CourseBS29,CBS29,Minor,1,63
U,BS1,6,CourseBS24,CBS24,Major,2,70
U,BS1,6,CourseBS29,CBS29,Minor,3,58
U,BS1,6,CourseBS34,CBS34,Major,2,70
U,BS1,6,CourseBS5,CBS5,Minor,2,62
U,BS1,7,CourseBS18,CBS18,Major,4,52
U,BS1,7,CourseBS15,CBS15,Minor,4,62
U,BS1,7,CourseBS38,CBS38,Major,2,90
U,BS1,7,CourseBS19,CBS19,Minor,4,72
