Level,Degree,Term,Course,CourseID,Type,CreditHours,Grade
U,BS3,1,CourseBS8,CBS8,Major,4,99
U,BS3,1,CourseBS23,CBS23,Minor,4,79
U,BS3,1,CourseBS4,CBS4,Major,1,99
U,BS3,1,CourseBS41,CBS41,Minor,4,77
U,BS3,2,CourseBS10,CBS10,Major,3,73
U,BS3,2,CourseBS17,CBS17,Minor,1,62
U,BS3,2,CourseBS8,CBS8,Major,2,96
U,BS3,2,CourseBS9,CBS9,Minor,2,62
U,BS3,3,CourseBS4,CBS4,Major,3,100
U,BS3,3,CourseBS13,CBS13,Minor,3,91
U,BS3,3,CourseBS24,CBS24,Major,4,89
U,BS3,3,CourseBS25,CBS25,Minor,4,99
U,BS3,4,CourseBS36,CBS36,Major,1,97
U,BS3,4,CourseBS33,CBS33,Minor,1,98
U,BS3,4,CourseBS20,CBS20,Major,2,56
U,BS3,4,CourseBS9,CBS9,Minor,4,81
U,BS3,5,CourseBS8,CBS8,Major,4,90
U,BS3,5,CourseBS31,CBS31,Minor,4,80
U,BS3,5,CourseBS2,CBS2,Major,1,71
U,BS3,5,CourseBS7,CBS7,Minor,2,79
U,BS3,6,CourseBS22,CBS22,Major,2,93
U,BS3,6,CourseBS25,CBS25,Minor,1,51
U,BS3,6,CourseBS40,CBS40,Major,2,81
U,BS3,6,CourseBS38,CBS38,Major,3,95
U,BS3,6,CourseBS9,CBS9,Minor,3,67
U,BS3,7,CourseBS10,CBS10,Major,3,50
U,BS3,7,CourseBS1,CBS1,Minor,4,53
U,BS3,7,CourseBS12,CBS12,Major,1,66
U,BS3,7,CourseBS6,CBS6,Major,1,100
U,BS3,7,CourseBS9,CBS9,Minor,2,96
U,BS3,8,CourseBS18,CBS18,Major,2,51
U,BS3,8,CourseBS23,CBS23,Minor,1,51
U,BS3,8,CourseBS34,CBS34,Major,2,68
U,BS3,8,CourseBS1,CBS1,Minor,2,96
G,D1,1,CourseD26,CD26,Major,1,68
G,D1,1,CourseD39,CD39,Minor,2,68
G,D1,1,CourseD16,CD16,Major,3,72
G,D1,1,CourseD35,CD35,Minor,3,85
G,D1,2,CourseD2,CD2,Major,4,86
G,D1,2,CourseD39,CD39,Minor,3,95
G,D1,2,CourseD36,CD36,Major,3,75
G,D1,2,CourseD33,CD33,Minor,1,68
G,D1,3,CourseD12,CD12,Major,2,78
G,D1,3,CourseD23,CD23,Minor,1,63
G,D1,3,CourseD10,CD10,Major,4,89
G,D1,3,CourseD15,CD15,Minor,3,56
G,D1,4,CourseD8,CD8,Major,4,94
G,D1,4,CourseD45,CD45,Minor,4,86
G,D1,4,CourseD34,CD34,Major,1,60
G,D1,4,CourseD27,CD27,Minor,2,58
G,D1,5,CourseD4,CD4,Major,3,82
G,D1,5,CourseD23,CD23,Minor,2,82
G,D1,5,CourseD2,CD2,Major,4,59
G,D1,5,CourseD7,CD7,Minor,3,51
G,D1,6,CourseD28,CD28,Major,1,89
G,D1,6,CourseD33,CD33,Minor,4,86
G,D1,6,CourseD24,CD24,Major,3,78
G,D1,6,CourseD7,CD7,Minor,2,92
G,D1,7,CourseD8,CD8,Major,4,96
G,D1,7,CourseD17,CD17,Minor,1,66
G,D1,7,CourseD16,CD16,Major,4,94
G,D1,7,CourseD1,CD1,Minor,3,87
G,D1,8,CourseD4,CD4,Major,3,53
G,D1,8,CourseD7,CD7,Minor,1,51
G,D1,8,CourseD22,CD22,Major,3,83
G,D1,8,CourseD41,CD41,Minor,3,98
