Level,Degree,Term,Course,CourseID,Type,CreditHours,Grade
G,M2,1,CourseM8,CM8,Major,1,51
G,M2,1,CourseM13,CM13,Minor,2,79
G,M2,1,CourseM15,CM15,Minor,2,98
G,M2,1,CourseM10,CM10,Major,1,88
G,M2,1,CourseM17,CM17,Minor,2,50
G,M2,2,CourseM28,CM28,Major,1,54
G,M2,2,CourseM45,CM45,Minor,3,83
G,M2,2,CourseM32,CM32,Major,1,57
G,M2,2,CourseM35,CM35,Minor,1,96
G,M2,3,CourseM14,CM14,Major,3,78
G,M2,3,CourseM9,CM9,Minor,4,75
G,M2,3,CourseM2,CM2,Major,4,69
G,M2,3,CourseM29,CM29,Minor,3,64
G,M2,4,CourseM24,CM24,Major,3,67
G,M2,4,CourseM5,CM5,Minor,3,75
G,M2,4,CourseM14,CM14,Major,2,80
G,M2,4,CourseM39,CM39,Minor,3,72
G,M2,5,CourseM24,CM24,Major,4,90
G,M2,5,CourseM5,CM5,Minor,3,89
G,M2,5,CourseM6,CM6,Major,2,64
G,M2,5,CourseM25,CM25,Minor,1,54
G,M2,6,CourseM26,CM26,Major,3,85
G,M2,6,CourseM43,CM43,Minor,3,90
G,M2,6,CourseM8,CM8,Major,3,76
G,M2,6,CourseM39,CM39,Minor,2,83
G,M2,7,CourseM8,CM8,Major,2,88
G,M2,7,CourseM21,CM21,Minor,4,86
G,M2,7,CourseM12,CM12,Major,1,78
G,M2,7,CourseM11,CM11,Minor,1,67
G,D2,1,CourseD26,CD26,Major,1,91
G,D2,1,CourseD11,CD11,Minor,3,54
G,D2,1,CourseD38,CD38,Major,4,62
G,D2,1,CourseD25,CD25,Minor,4,51
G,D2,2,CourseD42,CD42,Major,2,53
G,D2,2,CourseD35,CD35,Minor,2,89
G,D2,2,CourseD40,CD40,Major,2,53
G,D2,2,CourseD7,CD7,Minor,2,68
G,D2,3,CourseD22,CD22,Major,2,72
G,D2,3,CourseD43,CD43,Minor,3,63
G,D2,3,CourseD40,CD40,Major,3,89
G,D2,3,CourseD9,CD9,Minor,4,65
G,D2,4,CourseD20,CD20,Major,1,76
G,D2,4,CourseD11,CD11,Minor,3,87
G,D2,4,CourseD26,CD26,Major,4,56
G,D2,4,CourseD39,CD39,Minor,1,66
G,D2,5,CourseD44,CD44,Major,2,65
G,D2,5,CourseD23,CD23,Minor,2,100
G,D2,5,CourseD24,CD24,Major,1,63
G,D2,5,CourseD1,CD1,Minor,1,70
G,D2,6,CourseD32,CD32,Major,2,50
G,D2,6,CourseD9,CD9,Minor,2,76
G,D2,6,CourseD18,CD18,Major,3,81
G,D2,6,CourseD15,CD15,Minor,3,51
G,D2,7,CourseD30,CD30,Major,3,87
G,D2,7,CourseD39,CD39,Minor,2,86
G,D2,7,CourseD40,CD40,Major,1,89
G,D2,7,CourseD43,CD43,Minor,4,55
