Level,Degree,Term,Course,CourseID,Type,CreditHours,Grade
G,M2,1,CourseM38,CM38,Major,3,57
G,M2,1,CourseM9,CM9,Minor,2,87
G,M2,1,CourseM4,CM4,Major,3,74
G,M2,1,CourseM35,CM35,Minor,1,53
G,M2,2,CourseM40,CM40,Major,1,77
G,M2,2,CourseM17,CM17,Minor,3,87
G,M2,2,CourseM12,CM12,Major,3,51
G,M2,2,CourseM7,CM7,Minor,2,72
G,M2,3,CourseM6,CM6,Major,2,69
G,M2,3,CourseM41,CM41,Minor,4,88
G,M2,3,CourseM3,CM3,Minor,3,95
G,M2,3,CourseM10,CM10,Major,4,65
G,M2,4,CourseM34,CM34,Major,3,53
G,M2,4,CourseM37,CM37,Minor,3,90
G,M2,4,CourseM2,CM2,Major,3,65
G,M2,4,CourseM33,CM33,Minor,2,84
G,M2,5,CourseM8,CM8,Major,1,86
G,M2,5,CourseM27,CM27,Minor,2,91
G,M2,5,CourseM40,CM40,Major,3,95
G,M2,5,CourseM15,CM15,Minor,1,61
