Level,Degree,Term,Course,CourseID,Type,CreditHours,Grade
G,M1,1,CourseM4,CM4,Major,4,71
G,M1,1,CourseM23,CM23,Minor,4,90
G,M1,1,CourseM2,CM2,Major,1,72
G,M1,1,CourseM35,CM35,Minor,4,51
G,M1,2,CourseM26,CM26,Major,4,63
G,M1,2,CourseM33,CM33,Minor,2,65
G,M1,2,CourseM12,CM12,Major,4,98
G,M1,2,CourseM13,CM13,Minor,2,94
G,M1,3,CourseM22,CM22,Major,3,57
G,M1,3,CourseM21,CM21,Minor,2,74
G,M1,3,CourseM44,CM44,Major,2,95
G,M1,3,CourseM31,CM31,Minor,2,74
G,M1,4,CourseM8,CM8,Major,3,60
G,M1,4,CourseM37,CM37,Minor,2,93
G,M1,4,CourseM28,CM28,Major,2,61
G,M1,4,CourseM34,CM34,Major,2,73
G,M1,4,CourseM9,CM9,Minor,3,50
G,M1,5,CourseM30,CM30,Major,4,52
G,M1,5,CourseM37,CM37,Minor,1,55
G,M1,5,CourseM24,CM24,Major,2,100
G,M1,5,CourseM9,CM9,Minor,3,88
G,M1,6,CourseM34,CM34,Major,3,61
G,M1,6,CourseM25,CM25,Minor,3,52
G,M1,6,CourseM6,CM6,Major,4,99
G,M1,6,CourseM13,CM13,Minor,3,100
G,M1,7,CourseM28,CM28,Major,4,60
G,M1,7,CourseM19,CM19,Minor,4,85
G,M1,7,CourseM44,CM44,Major,3,83
G,M1,7,CourseM27,CM27,Minor,4,84
G,M1,8,CourseM44,CM44,Major,4,60
G,M1,8,CourseM21,CM21,Minor,2,69
G,M1,8,CourseM10,CM10,Major,2,58
G,M1,8,CourseM35,CM35,Minor,2,64
G,D1,1,CourseD2,CD2,Major,1,72
G,D1,1,CourseD29,CD29,Minor,2,99
G,D1,1,CourseD8,CD8,Major,3,95
G,D1,1,CourseD39,CD39,Minor,1,97
G,D1,2,CourseD28,CD28,Major,3,96
G,D1,2,CourseD43,CD43,Minor,2,76
G,D1,2,CourseD24,CD24,Major,3,78
G,D1,2,CourseD31,CD31,Minor,3,58
G,D1,3,CourseD28,CD28,Major,1,54
G,D1,3,CourseD35,CD35,Minor,3,99
G,D1,3,CourseD32,CD32,Major,1,61
G,D1,3,CourseD7,CD7,Minor,2,68
G,D1,4,CourseD44,CD44,Major,2,100
G,D1,4,CourseD7,CD7,Minor,4,77
G,D1,4,CourseD6,CD6,Major,2,56
G,D1,4,CourseD21,CD21,Minor,3,56
G,D1,5,CourseD32,CD32,Major,3,72
G,D1,5,CourseD27,CD27,Minor,1,89
G,D1,5,CourseD40,CD40,Major,4,52
G,D1,5,CourseD41,CD41,Minor,2,96
G,D1,6,CourseD26,CD26,Major,3,91
G,D1,6,CourseD45,CD45,Minor,4,63
G,D1,6,CourseD36,CD36,Major,2,52
G,D1,6,CourseD43,CD43,Minor,2,89
G,D1,7,CourseD2,CD2,Major,1,81
G,D1,7,CourseD33,CD33,Minor,1,79
G,D1,7,CourseD36,CD36,Major,1,67
G,D1,7,CourseD23,CD23,Minor,3,82
G,D1,8,CourseD22,CD22,Major,3,91
G,D1,8,CourseD31,CD31,Minor,2,58
G,D1,8,CourseD36,CD36,Major,2,98
G,D1,8,CourseD45,CD45,Minor,2,80
