Level,Degree,Term,Course,CourseID,Type,CreditHours,Grade
G,D1,1,CourseD44,CD44,Major,3,62
G,D1,1,CourseD9,CD9,Minor,1,75
G,D1,1,CourseD28,CD28,Major,4,78
G,D1,1,CourseD31,CD31,Minor,2,71
G,D1,2,CourseD16,CD16,Major,4,84
G,D1,2,CourseD27,CD27,Minor,2,86
G,D1,2,CourseD30,CD30,Major,2,89
G,D1,2,CourseD31,CD31,Minor,4,56
G,D1,3,CourseD36,CD36,Major,3,86
G,D1,3,CourseD5,CD5,Minor,4,83
G,D1,3,CourseD2,CD2,Major,1,78
G,D1,3,CourseD29,CD29,Minor,1,88
G,D1,4,CourseD22,CD22,Major,2,81
G,D1,4,CourseD35,CD35,Minor,2,58
G,D1,4,CourseD32,CD32,Major,1,100
G,D1,4,CourseD31,CD31,Minor,4,99
G,D1,5,CourseD26,CD26,Major,1,66
G,D1,5,CourseD25,CD25,Minor,4,94
G,D1,5,CourseD40,CD40,Major,2,74
G,D1,5,CourseD35,CD35,Minor,2,54
G,D1,6,CourseD28,CD28,Major,2,51
G,D1,6,CourseD35,CD35,Minor,2,99
G,D1,6,CourseD10,CD10,Major,1,62
G,D1,6,CourseD41,CD41,Minor,1,97
G,D1,7,CourseD12,CD12,Major,3,94
G,D1,7,CourseD41,CD41,Minor,2,88
G,D1,7,CourseD40,CD40,Major,1,52
G,D1,7,CourseD37,CD37,Minor,2,58
G,D1,8,CourseD24,CD24,Major,2,91
G,D1,8,CourseD33,CD33,Minor,2,63
G,D1,8,CourseD42,CD42,Major,4,89
G,D1,8,CourseD5,CD5,Minor,4,53
