Level,Degree,Term,Course,CourseID,Type,CreditHours,Grade
G,M1,1,CourseM18,CM18,Major,4,99
G,M1,1,CourseM43,CM43,Minor,2,79
G,M1,1,CourseM28,CM28,Major,3,90
G,M1,1,CourseM35,CM35,Minor,2,93
G,M1,2,CourseM20,CM20,Major,3,74
G,M1,2,CourseM7,CM7,Minor,4,99
G,M1,2,CourseM44,CM44,Major,2,66
G,M1,2,CourseM45,CM45,Minor,1,50
G,M1,3,CourseM4,CM4,Major,2,76
G,M1,3,CourseM27,CM27,Minor,1,86
G,M1,3,CourseM20,CM20,Major,1,97
G,M1,3,CourseM45,CM45,Minor,2,57
G,M1,4,CourseM6,CM6,Major,3,86
G,M1,4,CourseM11,CM11,Minor,1,67
G,M1,4,CourseM24,CM24,Major,2,66
G,M1,4,CourseM25,CM25,Minor,1,74
G,M1,5,CourseM6,CM6,Major,4,95
G,M1,5,CourseM45,CM45,Minor,3,79
G,M1,5,CourseM20,CM20,Major,4,73
G,M1,5,CourseM35,CM35,Minor,3,85
G,M1,6,CourseM6,CM6,Major,1,60
G,M1,6,CourseM17,CM17,Minor,4,63
G,M1,6,CourseM8,CM8,Major,3,76
G,M1,6,CourseM3,CM3,Minor,4,67
G,M1,7,CourseM28,CM28,Major,1,50
G,M1,7,CourseM33,CM33,Minor,4,69
G,M1,7,CourseM18,CM18,Major,3,77
G,M1,7,CourseM31,CM31,Minor,2,91
G,M1,8,CourseM4,CM4,Major,4,71
G,M1,8,CourseM39,CM39,Minor,1,85
G,M1,8,CourseM26,CM26,Major,4,87
G,M1,8,CourseM41,CM41,Minor,3,78
