Level,Degree,Term,Course,CourseID,Type,CreditHours,Grade
G,D1,1,CourseD32,CD32,Major,2,88
G,D1,1,CourseD23,CD23,Minor,1,67
G,D1,1,CourseD30,CD30,Major,3,78
G,D1,1,CourseD3,CD3,Minor,1,89
G,D1,2,CourseD18,CD18,Major,3,100
G,D1,2,CourseD29,CD29,Minor,1,85
G,D1,2,CourseD34,CD34,Major,4,51
G,D1,2,CourseD13,CD13,Minor,1,62
G,D1,3,CourseD18,CD18,Major,1,63
G,D1,3,CourseD45,CD45,Minor,2,99
G,D1,3,CourseD6,CD6,Major,2,53
G,D1,3,CourseD11,CD11,Minor,4,84
G,D1,4,CourseD30,CD30,Major,1,87
G,D1,4,CourseD7,CD7,Minor,4,73
G,D1,4,CourseD18,CD18,Major,4,69
G,D1,4,CourseD17,CD17,Minor,2,65
G,D1,5,CourseD8,CD8,Major,1,96
G,D1,5,CourseD1,CD1,Minor,4,76
G,D1,5,CourseD38,CD38,Major,4,74
G,D1,5,CourseD9,CD9,Minor,4,55
G,D1,6,CourseD26,CD26,Major,1,58
G,D1,6,CourseD19,CD19,Minor,2,70
G,D1,6,CourseD38,CD38,Major,2,81
G,D1,6,CourseD7,CD7,Minor,3,53
G,D1,7,CourseD2,CD2,Major,4,99
G,D1,7,CourseD5,CD5,Minor,4,60
G,D1,7,CourseD22,CD22,Major,2,97
G,D1,7,CourseD25,CD25,Minor,3,68
