Level,Degree,Term,Course,CourseID,Type,CreditHours,Grade
U,BS4,1,CourseBS44,CBS44,Major,2,60
U,BS4,1,CourseBS9,CBS9,Minor,1,99
U,BS4,1,CourseBS32,CBS32,Major,4,75
U,BS4,1,CourseBS39,CBS39,Minor,4,88
U,BS4,2,CourseBS34,CBS34,Major,1,56
U,BS4,2,CourseBS33,CBS33,Minor,3,79
U,BS4,2,CourseBS40,CBS40,Major,4,86
U,BS4,2,CourseBS1,CBS1,Minor,1,100
U,BS4,3,CourseBS12,CBS12,Major,3,79
U,BS4,3,CourseBS11,CBS11,Minor,4,51
U,BS4,3,CourseBS16,CBS16,Major,2,96
U,BS4,3,CourseBS21,CBS21,Minor,1,60
U,BS4,4,CourseBS22,CBS22,Major,2,53
U,BS4,4,CourseBS1,CBS1,Minor,4,72
U,BS4,4,CourseBS40,CBS40,Major,1,88
U,BS4,4,CourseBS31,CBS31,Minor,2,96
U,BS4,5,CourseBS24,CBS24,Major,3,70
U,BS4,5,CourseBS41,CBS41,Minor,4,76
U,BS4,5,CourseBS36,CBS36,Major,1,67
U,BS4,5,CourseBS39,CBS39,Minor,1,77
U,BS4,6,CourseBS14,CBS14,Major,2,60
U,BS4,6,CourseBS45,CBS45,Minor,3,55
U,BS4,6,CourseBS26,CBS26,Major,2,84
U,BS4,6,CourseBS31,CBS31,Minor,1,83
U,BS4,7,CourseBS2,CBS2,Major,1,97
U,BS4,7,CourseBS27,CBS27,Minor,2,64
U,BS4,7,CourseBS34,CBS34,Major,3,93
U,BS4,7,CourseBS25,CBS25,Minor,4,68
U,BS4,8,CourseBS36,CBS36,Major,4,84
U,BS4,8,CourseBS41,CBS41,Minor,4,63
U,BS4,8,CourseBS10,CBS10,Major,3,51
U,BS4,8,CourseBS45,CBS45,Minor,1,51
G,M1,1,CourseM26,CM26,Major,1,58
G,M1,1,CourseM15,CM15,Minor,2,92
G,M1,1,CourseM28,CM28,Major,4,88
G,M1,1,CourseM19,CM19,Minor,3,96
G,M1,2,CourseM16,CM16,Major,4,81
G,M1,2,CourseM5,CM5,Minor,4,85
G,M1,2,CourseM32,CM32,Major,4,70
G,M1,2,CourseM33,CM33,Minor,4,55
G,M1,3,CourseM2,CM2,Major,2,80
G,M1,3,CourseM39,CM39,Minor,4,70
G,M1,3,CourseM4,CM4,Major,4,65
G,M1,3,CourseM15,CM15,Minor,3,60
G,M1,4,CourseM40,CM40,Major,3,96
G,M1,4,CourseM33,CM33,Minor,3,56
G,M1,4,CourseM4,CM4,Major,1,52
G,M1,4,CourseM21,CM21,Minor,2,78
G,M1,5,CourseM14,CM14,Major,3,84
G,M1,5,CourseM23,CM23,Minor,4,51
G,M1,5,CourseM42,CM42,Major,4,70
G,M1,5,CourseM43,CM43,Minor,1,55
G,M1,6,CourseM24,CM24,Major,1,71
G,M1,6,CourseM29,CM29,Minor,3,97
G,M1,6,CourseM28,CM28,Major,3,60
G,M1,6,CourseM37,CM37,Minor,2,91
G,M1,7,CourseM24,CM24,Major,1,53
G,M1,7,CourseM7,CM7,Minor,1,66
G,M1,7,CourseM14,CM14,Major,2,66
G,M1,7,CourseM9,CM9,Minor,1,83
G,M1,8,CourseM38,CM38,Major,3,77
G,M1,8,CourseM41,CM41,Minor,2,73
G,M1,8,CourseM22,CM22,Major,2,57
G,M1,8,CourseM1,CM1,Minor,3,100
G,D2,1,CourseD16,CD16,Major,4,58
G,D2,1,CourseD45,CD45,Minor,3,51
G,D2,1,CourseD34,CD34,Major,1,56
G,D2,1,CourseD35,CD35,Minor,1,88
G,D2,2,CourseD22,CD22,Major,4,91
G,D2,2,CourseD1,CD1,Minor,2,57
G,D2,2,CourseD12,CD12,Major,3,98
G,D2,2,CourseD19,CD19,Minor,2,68
G,D2,3,CourseD34,CD34,Major,2,54
G,D2,3,CourseD43,CD43,Minor,3,66
G,D2,3,CourseD36,CD36,Major,4,65
G,D2,3,CourseD3,CD3,Minor,2,77
G,D2,4,CourseD28,CD28,Major,3,57
G,D2,4,CourseD17,CD17,Minor,2,54
G,D2,4,CourseD26,CD26,Major,2,73
G,D2,4,CourseD39,CD39,Minor,3,62
G,D2,5,CourseD8,CD8,Major,4,59
G,D2,5,CourseD33,CD33,Minor,3,55
G,D2,5,CourseD20,CD20,Major,4,62
G,D2,5,CourseD31,CD31,Minor,4,82
G,D2,6,CourseD18,CD18,Major,1,95
G,D2,6,CourseD35,CD35,Minor,4,66
G,D2,6,CourseD36,CD36,Major,1,98
G,D2,6,CourseD3,CD3,Minor,2,62
G,D2,7,CourseD42,CD42,Major,4,89
G,D2,7,CourseD27,CD27,Minor,3,67
G,D2,7,CourseD30,CD30,Major,1,73
G,D2,7,CourseD11,CD11,Minor,1,96
G,D2,8,CourseD16,CD16,Major,4,53
G,D2,8,CourseD19,CD19,Minor,3,61
G,D2,8,CourseD42,CD42,Major,1,85
G,D2,8,CourseD37,CD37,Minor,4,65
