Level,Degree,Term,Course,CourseID,Type,CreditHours,Grade
G,D1,1,CourseD28,CD28,Major,4,67
G,D1,1,CourseD43,CD43,Minor,4,67
G,D1,1,CourseD9,CD9,Minor,4,63
G,D1,1,CourseD18,CD18,Major,1,97
G,D1,1,CourseD11,CD11,Minor,2,81
G,D1,2,CourseD24,CD24,Major,4,59
G,D1,2,CourseD1,CD1,Minor,3,58
G,D1,2,CourseD12,CD12,Major,2,97
G,D1,2,CourseD5,CD5,Minor,3,96
G,D1,3,CourseD6,CD6,Major,1,67
G,D1,3,CourseD19,CD19,Minor,4,97
G,D1,3,CourseD2,CD2,Major,2,89
G,D1,3,CourseD9,CD9,Minor,3,89
G,D1,4,CourseD12,CD12,Major,3,84
G,D1,4,CourseD35,CD35,Minor,3,66
G,D1,4,CourseD4,CD4,Major,1,65
G,D1,4,CourseD37,CD37,Minor,1,57
G,D1,5,CourseD14,CD14,Major,4,74
G,D1,5,CourseD11,CD11,Minor,2,78
G,D1,5,CourseD26,CD26,Major,3,80
G,D1,5,CourseD15,CD15,Minor,2,77
